tconst,titleType,originalTitle,startYear,runtimeMinutes,numVotes,ordering,region,main_genre,secondary_genre
2048877,movie,The Ambassador,2011,97,4175,4,CA,Documentary,No tiene
2059255,movie,No,2012,118,25618,22,CA,Drama,History
2062969,movie,L'enfant d'en haut,2012,97,7054,21,CA,Crime,Drama
2063781,movie,Smashed,2012,81,17344,19,CA,Drama,No tiene
2070776,movie,Populaire,2012,111,12517,16,CA,Comedy,Romance
2073086,movie,Still Mine,2012,102,4504,2,CA,Drama,No tiene
2076176,movie,Cloclo,2012,148,3092,2,CA,Biography,Drama
2083355,movie,The Best Man Holiday,2013,123,16483,28,CA,Comedy,Drama
2084977,movie,The Scapegoat,2012,108,5049,3,CA,Drama,No tiene
2087571,tvSeries,The New Normal,2012,30,11397,19,CA,Comedy,Romance
2089467,tvSeries,Talking Dead,2011,44,3630,7,CA,Talk-Show,No tiene
2091473,movie,Promised Land,2012,106,39061,28,CA,Drama,No tiene
2097298,movie,"McFarland, USA",2015,129,40526,31,CA,Biography,Drama
2099034,tvSeries,Backstrom,2015,44,9731,11,CA,Comedy,Crime
2112206,movie,Monica Z,2013,111,4151,12,CA,Biography,Drama
2124803,movie,How to Survive a Plague,2012,110,4265,1,CA,Documentary,History
2125435,movie,Beasts of the Southern Wild,2012,93,84192,18,CA,Adventure,Drama
2125608,movie,Searching for Sugar Man,2012,86,70415,27,CA,Biography,Documentary
2125666,movie,The Queen of Versailles,2012,103,13521,10,CA,Documentary,No tiene
2126154,tvMiniSeries,This Is England '88,2011,70,11079,7,CA,Comedy,Crime
2133196,movie,Born to Be Blue,2015,97,9032,20,CA,Biography,Drama
2140373,movie,Saving Mr. Banks,2013,125,166277,14,CA,Biography,Comedy
2141913,tvSeries,Review,2014,30,6225,6,CA,Comedy,No tiene
2150332,movie,Renoir,2012,111,5864,8,CA,Biography,Drama
2165735,movie,Du zhan,2012,107,10586,14,CA,Action,Crime
2167393,tvMiniSeries,The Men Who Built America,2012,120,4377,15,CA,Biography,Documentary
2170584,tvSeries,Video Game High School,2012,42,13577,5,CA,Action,Romance
2170667,movie,Wheels,2014,115,6829,6,CA,Drama,No tiene
2172935,movie,Metallica Through the Never,2013,93,17926,1,CA,Music,No tiene
2176609,tvSeries,Mob City,2013,60,7569,13,CA,Crime,Drama
2177491,tvSeries,Ben and Kate,2012,22,5225,3,CA,Comedy,No tiene
2177511,movie,Cesare deve morire,2012,77,6673,24,CA,Drama,No tiene
2178941,movie,Barbara,2012,105,15153,11,CA,Drama,No tiene
2185022,movie,Love on a Leash,2011,90,7867,12,CA,Comedy,Drama
2186715,movie,Hon zin,2012,102,4968,1,CA,Action,Crime
2187115,movie,Pozitia copilului,2013,112,8667,16,CA,Drama,No tiene
2190367,movie,O Som ao Redor,2012,131,8429,15,CA,Drama,Thriller
2199571,movie,Run All Night,2015,114,112287,25,CA,Action,Crime
2204080,movie,Wildlike,2014,104,5238,1,CA,Adventure,Drama
2204371,movie,Somm,2012,94,4887,3,CA,Documentary,No tiene
2205904,movie,Generation Iron,2013,106,7954,1,CA,Documentary,Drama
2210479,movie,Berserk: Ougon Jidai-hen I - Haou no Tamago,2012,76,13517,1,CA,Action,Adventure
2215151,movie,Inequality for All,2013,89,6941,11,CA,Documentary,No tiene
2215399,tvSeries,Red Widow,2013,60,3175,5,CA,Crime,Drama
2215717,tvSeries,The Mob Doctor,2012,60,4433,9,CA,Crime,Drama
2216156,tvSeries,Last Tango in Halifax,2012,60,8032,5,CA,Comedy,Drama
2216240,movie,Kapringen,2012,103,17122,32,CA,Drama,Thriller
2217859,movie,Louder Than Bombs,2015,109,13823,27,CA,Drama,No tiene
2219514,movie,Lemale et ha'halal,2012,90,3926,18,CA,Drama,Romance
2223990,movie,Draft Day,2014,110,63900,28,CA,Drama,Sport
2229167,tvSeries,Golden Boy,2013,60,3943,3,CA,Crime,Drama
2235902,movie,Geography Club,2013,84,6084,10,CA,Comedy,Drama
2258281,movie,Dupa dealuri,2012,152,12901,23,CA,Drama,No tiene
2258904,tvSeries,A Place to Call Home,2013,60,5899,24,CA,Drama,No tiene
2261287,movie,Ballerina,2016,89,23441,39,CA,Adventure,Animation
2262383,tvSeries,Vegas,2012,44,7477,2,CA,Action,Crime
2263944,movie,Dragon Ball Z: Doragon b̫ru Z - Kami to Kami,2013,85,29016,25,CA,Action,Adventure
2276413,tvSeries,Garfunkel and Oates,2014,23,3457,6,CA,Comedy,Music
2279864,tvMovie,Clear History,2013,101,18911,2,CA,Comedy,No tiene
2284766,tvMovie,Mary and Martha,2013,95,3547,17,CA,Drama,No tiene
2290339,tvSeries,Emily Owens M.D.,2012,43,6733,12,CA,Comedy,Drama
2294473,movie,Aku no ky̫ten,2012,129,6539,15,CA,Horror,Thriller
2294677,movie,In a World...,2013,93,32503,16,CA,Comedy,No tiene
2301351,tvSeries,RuPaul's Drag Race All Stars,2012,60,9165,24,CA,Game-Show,Reality-TV
2301592,movie,La danza de la realidad,2013,133,9242,7,CA,Biography,Drama
2303367,tvSeries,Dirk Gently,2010,58,3365,19,CA,Comedy,Crime
2304771,movie,Mandela: Long Walk to Freedom,2013,141,28585,22,CA,Biography,Drama
